epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.7996581376723524,0.7093183893077778,0.568850447734197,0.7840346793333689
2,0.5912070263106868,0.7799429499878073,0.5080024003982544,0.8151012063026428
3,0.5331477067380581,0.8038853935475619,0.44985318680604297,0.8390210668245951
4,0.4923533482371636,0.8203038741957467,0.42244836688041687,0.8495679398377737
5,0.47380558443519305,0.8261648180349818,0.41061387459437054,0.8521425127983093
6,0.45301168257335445,0.8340874797893021,0.3854418794314067,0.8619614044825236
7,0.434591458653504,0.8411782406411081,0.36957216262817383,0.8644264837106069
8,0.4278275432451716,0.8416490768486599,0.38151231904824573,0.8635623753070831
9,0.4177665339325959,0.8467055615389122,0.37046878536542255,0.8644028107325236
10,0.40822902490507884,0.8518863219135212,0.3670600801706314,0.8640210628509521

test_loss,test_acc
0.39653808772563937,0.8549884378910064

parameters
636010
