epoch,train_loss,train_acc,valid_loss,valid_acc
1,1.04884128525572,0.6239665915381234,0.639657606681188,0.7609552542368571
2,0.6620679239057145,0.7505457142613968,0.571367084980011,0.7838630378246307
3,0.6032440594907077,0.7757265995133598,0.5202170809110006,0.80908203125
4,0.5554474254824081,0.7940966385715412,0.4829137126604716,0.8242660959561666
5,0.5220166360432247,0.8065379104524288,0.45405804614226025,0.8394205669562022
6,0.49774548411369324,0.8171381815424505,0.4422498047351837,0.8387428919474283
7,0.4792486924045491,0.8216607120801818,0.41941655178864795,0.851757804552714
8,0.46002464530602943,0.8294394972189417,0.4049341877301534,0.8501035670439402
9,0.4519644334631146,0.8315443407814458,0.3914465755224228,0.8574248254299164
10,0.43898778366592694,0.8381446644944964,0.383456086119016,0.8606267670790354

test_loss,test_acc
0.40395419001579286,0.8514588654041291

parameters
279935
