epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.7786204702449295,0.7614270741084836,0.29668253163496655,0.9218631585439047
2,0.3023144431271643,0.9146674117952023,0.17715165267388025,0.9517134229342142
3,0.19937056471716683,0.9442100929764082,0.13988803451259932,0.9607895314693451
4,0.15843524910369008,0.9545414267845873,0.11786709725856781,0.9625532627105713
5,0.13845389448809173,0.9597562945113992,0.10497409477829933,0.9676254689693451
6,0.12005815570646862,0.9647892567346681,0.09622157861789067,0.9692234794298807
7,0.10884655309173297,0.9680455102110809,0.08264301344752312,0.9728308419386545
8,0.10239677426387679,0.96998530626297,0.07596092050274213,0.9759499231974283
9,0.09441201206085817,0.9720470253026711,0.07791472971439362,0.9748905003070831
10,0.08831443792244173,0.973479133731914,0.06899670201043288,0.976816991964976

test_loss,test_acc
0.06076538898050785,0.9816426157951355

parameters
636010
