epoch,train_loss,train_acc,valid_loss,valid_acc
1,1.4065395323735363,0.5007903452189464,0.8548025290171305,0.6756451229254404
2,0.8060215509162759,0.6989294268050283,0.6843279302120209,0.7362482249736786
3,0.7003625147747543,0.7329162325499192,0.6142385403315226,0.7632072667280833
4,0.6478494563192692,0.7531449153738202,0.5662038127581278,0.7852805356184641
5,0.6093392743254608,0.7664572922688611,0.5302410771449407,0.7972123523553213
6,0.5848975091610314,0.7763158307885224,0.5058063020308813,0.8072975774606069
7,0.5596241439288517,0.7846375850011718,0.49575429161389667,0.8202089170614878
8,0.557015486483304,0.7874586784614707,0.4762267867724101,0.8245472212632498
9,0.528755711497001,0.7995769134107625,0.45958811541398364,0.835117777188619
10,0.512181578379757,0.8070557904693315,0.4584822903076808,0.8281220396359762
11,0.5030917187906662,0.8090739936198829,0.43402888377507526,0.8414388000965118
12,0.4919818718478365,0.8140779452503852,0.45528359711170197,0.8228870729605356
13,0.48663553820466093,0.8166371583938599,0.42659497261047363,0.8459102710088094
14,0.47072089449414667,0.8222836582165844,0.4145338038603465,0.8484582106272379
15,0.46992725077665076,0.8232421875,0.41184768577416736,0.8492720127105713
16,0.45677034528750293,0.8274828442987406,0.4183323134978612,0.8452562689781189
17,0.44656524512003054,0.8325201182995202,0.40240911146004993,0.8548828065395355
18,0.4449557397725447,0.8336570240416616,0.3888099094231923,0.858652929464976
19,0.43401099151035527,0.8368144845062832,0.3853829155365626,0.8640210628509521
20,0.42467718360559,0.840516875374992,0.37187783420085907,0.8684422274430593

test_loss,test_acc
0.38688945174217226,0.8564174115657807

parameters
44426
